101,true,10,10,false,20,23,38,74,84,87,127,187,261,273
102,true,10,10,false,31,68,82,137,224,299,384,386,425,790
103,true,10,10,false,28,56,169,185,244,266,271,352,452,689
104,true,10,10,false,44,44,61,70,100,150,176,179,219,386
105,true,10,10,false,33,63,105,109,109,123,221,322,414,470
106,true,10,10,false,3,79,96,105,105,154,212,228,362,581
107,true,10,10,false,13,21,73,97,121,168,188,188,220,406
108,true,10,10,false,119,179,285,298,335,352,489,497,594,637
109,true,10,10,false,22,38,118,252,276,359,380,386,539,622
110,true,10,10,false,31,60,65,115,230,282,302,500,657,679
111,true,10,10,false,12,79,103,148,208,269,297,303,321,634
112,true,10,10,false,32,44,52,83,171,302,328,358,477,567
113,true,10,10,false,16,37,75,92,107,111,123,359,361,518
114,true,10,10,false,27,45,81,93,100,117,168,194,228,404
115,true,10,10,false,41,66,72,181,183,195,289,298,455,703
116,true,10,10,false,36,90,98,127,140,159,284,344,356,385
117,true,10,10,false,39,105,142,221,225,235,326,378,491,832
118,true,10,10,false,65,67,87,133,165,209,246,251,251,332
119,true,10,10,false,13,46,50,53,79,80,87,253,290,813
120,true,10,10,false,32,49,69,69,133,175,184,229,367,590
121,true,10,10,false,20,34,54,120,275,290,328,342,343,354
122,true,10,10,false,69,99,99,107,107,125,145,231,311,365
123,true,10,10,false,105,162,174,244,303,306,335,373,428,439
124,true,10,10,false,1,29,63,67,156,187,187,369,439,563
125,true,10,10,false,89,115,129,162,198,253,266,305,368,603
126,true,10,10,false,25,39,47,50,217,221,250,293,348,416
127,true,10,10,false,7,11,26,30,36,74,144,144,177,312
128,true,10,10,false,92,95,143,149,164,297,335,366,859,886
129,true,10,10,false,69,69,78,141,255,255,289,289,293,418
130,true,10,10,false,12,16,37,103,140,176,204,272,302,510
131,true,10,10,false,19,65,102,135,185,187,224,248,396,696
132,true,10,10,false,37,84,144,146,147,400,479,561,1203,1274
133,true,10,10,false,16,37,84,107,148,232,323,323,413,444
134,true,10,10,false,15,40,89,168,169,200,230,248,343,479
135,true,10,10,false,24,32,44,52,145,151,170,309,374,424
136,true,10,10,false,13,63,66,110,179,221,224,232,306,827
137,true,10,10,false,40,43,75,90,171,190,195,384,572,738
138,true,10,10,false,22,22,41,63,87,102,196,253,363,397
139,true,10,10,false,144,151,180,183,204,264,291,506,572,778
140,true,10,10,false,43,87,122,151,151,247,285,300,334,394
141,true,10,10,false,11,102,138,229,234,336,397,492,570,1226
142,true,10,10,false,24,61,176,180,191,284,286,340,348,371
143,true,10,10,false,25,51,67,87,97,189,245,329,393,553
144,true,10,10,false,34,43,80,99,130,142,168,168,268,269
145,true,10,10,false,36,36,68,91,130,187,205,220,286,471
146,true,10,10,false,30,73,87,124,125,156,194,276,351,920
147,true,10,10,false,15,17,36,72,112,142,172,174,218,357
148,true,10,10,false,19,83,153,156,195,204,226,302,363,1265
149,true,10,10,false,16,31,31,34,108,114,136,168,181,570
150,true,10,10,false,114,122,129,164,167,183,204,210,213,215
151,true,10,10,false,10,165,167,174,182,186,223,226,333,354
152,true,10,10,false,11,60,76,95,199,223,306,330,363,375
153,true,10,10,false,20,40,61,62,88,188,213,409,493,553
154,true,10,10,false,22,32,76,76,120,143,228,452,521,659
155,true,10,10,false,35,43,91,95,106,142,163,271,271,576
156,true,10,10,false,12,37,76,141,143,219,299,526,532,758
157,true,10,10,false,7,19,55,78,87,96,121,169,174,281
158,true,10,10,false,26,62,87,135,240,296,350,401,613,783
159,true,10,10,false,6,20,44,55,103,130,146,172,209,968
160,true,10,10,false,5,10,18,59,59,74,220,248,304,805
161,true,10,10,false,15,120,159,172,181,196,228,229,271,364
162,true,10,10,false,63,99,161,169,200,201,244,288,450,1003
163,true,10,10,false,27,28,36,40,93,202,245,333,514,576
164,true,10,10,false,4,139,145,149,189,206,208,243,350,397
165,true,10,10,false,43,47,51,93,142,170,217,499,515,529
166,true,10,10,false,34,34,50,59,98,111,156,206,222,474
167,true,10,10,false,53,98,103,122,128,144,152,159,271,320
168,true,10,10,false,23,45,56,171,174,231,305,340,443,674
169,true,10,10,false,134,164,170,202,202,271,309,320,716,829
170,true,10,10,false,16,16,41,42,82,82,91,210,224,520
171,true,10,10,false,46,130,135,161,176,234,276,305,327,458
172,true,10,10,false,43,51,58,116,200,209,244,248,396,540
173,true,10,10,false,12,21,36,73,76,96,121,138,262,295
174,true,10,10,false,15,27,29,37,86,159,198,413,522,793
175,true,10,10,false,32,120,128,193,215,228,271,279,441,513
176,true,10,10,false,57,78,101,116,211,252,263,315,315,391
177,true,10,10,false,5,44,50,99,116,180,193,261,276,362
178,true,10,10,false,34,43,93,128,172,182,197,258,277,874
179,true,10,10,false,43,76,97,198,231,243,251,263,440,440
180,true,10,10,false,60,100,123,130,131,131,140,188,246,501
181,true,10,10,false,32,39,72,106,143,219,234,255,388,394
182,true,10,10,false,37,45,86,87,140,158,184,366,430,438
183,true,10,10,false,13,24,25,62,161,175,175,196,265,481
184,true,10,10,false,63,81,82,89,103,154,164,165,272,514
185,true,10,10,false,19,132,162,184,203,233,394,477,505,701
186,true,10,10,false,11,18,35,114,124,127,139,164,193,484
187,true,10,10,false,20,33,46,77,79,154,171,248,272,402
188,true,10,10,false,41,78,95,105,142,216,219,243,377,377
189,true,10,10,false,12,26,57,91,94,157,201,323,476,482
190,true,10,10,false,20,20,75,167,186,214,291,356,367,495
191,true,10,10,false,26,35,84,139,169,209,260,276,290,720
192,true,10,10,false,6,11,14,28,37,44,173,219,282,282
193,true,10,10,false,95,129,153,270,300,317,385,408,416,416
194,true,10,10,false,82,85,105,165,312,389,413,420,444,462
195,true,10,10,false,82,100,106,173,194,217,254,285,745,748
196,true,10,10,false,10,29,42,82,142,167,304,352,362,428
197,true,10,10,false,54,71,72,172,174,241,337,416,418,498
198,true,10,10,false,28,94,101,199,214,238,255,280,343,421
199,true,10,10,false,62,114,147,183,237,276,354,404,409,544
200,true,10,10,false,43,97,101,121,162,226,334,457,477,617